inner_loss,best_inner,training_iteration,config/hidden,config/dropout,config/lr,config/wd,config/batch,config/alpha
0.3170989453792572,0.3170989453792572,30,64,0.06193115806902673,0.002966085716704122,7.82467297227483e-06,16,0.6693974177870514
0.3266766667366028,0.321092814207077,30,64,0.2877942445104629,0.004657517573834115,7.67083397500667e-05,16,0.5243089731270483
0.33519116044044495,0.33519116044044495,30,96,0.05729901622468482,0.001963907443012559,3.8484463883288466e-06,16,0.6117626345516376
0.339377760887146,0.339377760887146,30,64,0.2530943222861967,0.0034079319816745822,7.334698777551942e-05,16,0.5169255255487376
0.34625133872032166,0.34625133872032166,30,64,0.32228926600241226,0.004721129712622552,1.2736182267443351e-05,32,0.5543685012532873
0.4125199019908905,0.3485894799232483,30,96,0.13440530192171043,0.0036380572878680307,1.14415510296181e-06,16,0.43763744628667733
0.3583782911300659,0.3583782911300659,30,64,0.3213446680922575,0.0025672702862047014,1.7531766986083022e-06,32,0.356558277739663
0.45832517743110657,0.3732409179210663,30,48,0.31394540970179297,0.00415162929229052,1.0402622069780461e-05,16,0.357036954448034
0.38251742720603943,0.38251742720603943,30,48,0.2762559133712728,0.003133782778325298,0.00024342834098698917,32,0.6509450130706457
0.38722002506256104,0.38722002506256104,30,32,0.2527831074805171,0.001552002842891085,0.0002857770728882936,16,0.6507586250321329
0.4558302164077759,0.3912307918071747,30,96,0.17234736846342902,0.0024579276074238256,3.3093568156816404e-05,32,0.3550418196193057
0.4536108076572418,0.4042208790779114,30,48,0.09982444066007354,0.002286165000473196,0.00018019274657557358,16,0.3082124201056901
0.4757601320743561,0.40541574358940125,30,32,0.12368295713364733,0.004311382366506033,7.66382156463991e-06,16,0.4318187154536502
0.4079330861568451,0.4079330861568451,30,48,0.0635687036013106,0.005308065455161452,0.0007570773080271446,16,0.5979640943111626
0.40983113646507263,0.40983113646507263,30,64,0.2845591340077635,0.000978408076640972,4.587158442131788e-06,16,0.34311017744566263
0.4293017089366913,0.4293017089366913,30,96,0.16180004881982016,0.0013711417614101081,3.1487222963911194e-05,32,0.6206816672634698
0.4327842891216278,0.4327842891216278,30,32,0.15517755632621194,0.00247764624198958,0.0009209543549868332,32,0.6139428696676998
0.44877126812934875,0.44877126812934875,30,32,0.11658374070153076,0.0017368470773711342,2.7164554370514903e-05,32,0.6377203455304198
0.4594666063785553,0.4519149959087372,30,48,0.05717719773190827,0.0017531594611341706,0.0007358826585326927,16,0.3806223814076043
0.49580147862434387,0.493237167596817,30,48,0.2019529976961303,0.0008547651572244732,1.4041090341778487e-06,16,0.625452361858412
0.4979991316795349,0.4979991316795349,30,48,0.18630292239956275,0.0013108160470702802,0.00035284145507359947,32,0.6967383241865266
0.5308837294578552,0.5005297064781189,25,48,0.23758289564874246,0.0010740522732490404,0.00023686739008709206,16,0.5110080926087884
0.5037792325019836,0.5037792325019836,25,96,0.19186283505224272,0.0035054832668879135,0.0008928450148761285,64,0.6983674652494287
0.5271906852722168,0.5088564157485962,25,48,0.16871271911740252,0.004786395511368467,7.588589235994261e-06,64,0.5371143283125495
0.5109798908233643,0.5109798908233643,25,64,0.2396558452727004,0.00579911170366134,3.3239524140109956e-06,64,0.3319017595151749
0.5299004316329956,0.5147125720977783,25,32,0.092875996271748,0.0016194061310677206,5.3607621288258725e-05,32,0.33307576567079755
0.5280960202217102,0.5175564885139465,25,32,0.10790617605339685,0.0007541857696655607,1.595392456171387e-05,16,0.5558876002186487
0.5670718550682068,0.518873929977417,25,64,0.09394966877908592,0.0009332907709669684,4.247020580159772e-06,32,0.40527878314811294
0.524318277835846,0.524318277835846,25,64,0.15032287802362504,0.004441627723726417,0.00017264942123543087,64,0.30369492729377906
0.5440475940704346,0.5331887602806091,25,32,0.17098103558514388,0.0006319837865017659,4.599266723044945e-06,16,0.4703611307945521
0.5459926128387451,0.5332310795783997,25,96,0.20724264275507492,0.002222791990245257,0.00044648275143907893,64,0.664147113546359
0.5334744453430176,0.5334744453430176,25,96,0.25187232330937376,0.002319079948191329,1.569707030929864e-06,64,0.6777503455972004
0.5568101406097412,0.5349717736244202,25,96,0.3138809490206426,0.0005651913545207275,1.576478037438795e-05,32,0.6807930104278157
0.5449804067611694,0.5356804132461548,25,32,0.1777067158373995,0.0006331412987324246,9.921245813827749e-06,16,0.4255496818123518
0.5489725470542908,0.5489725470542908,30,32,0.11017728450953232,0.0023986778699753015,4.024241639000495e-06,64,0.3063681233228754
0.550713300704956,0.5499392151832581,30,48,0.1450441499834156,0.002474055741853712,1.5299518591628723e-05,64,0.4183368337942843
0.5602724552154541,0.5509054064750671,25,96,0.22930718860247123,0.0023274640473287,0.000549053909016207,64,0.4251855903891352
0.5552023649215698,0.55353844165802,25,48,0.26302980225019335,0.0005428534246655559,0.00028174954081985166,32,0.629186369073358
0.5614988207817078,0.5614964962005615,25,64,0.16812588046664484,0.0009776987754661767,0.00020464408508710249,64,0.30902545929594294
0.5671291351318359,0.5671291351318359,25,48,0.06658076602802372,0.0010100901747561169,8.572309271196552e-06,64,0.5182550855106633
0.5695974230766296,0.5695974230766296,25,48,0.22685052333784572,0.0010850287139855274,4.750674432774183e-05,64,0.662584794185761
0.5710812211036682,0.5696438550949097,25,48,0.1194534495981979,0.0009984515130092447,0.0007778597176538267,64,0.40325099096100525
0.5742493867874146,0.5742493867874146,25,48,0.278952505980551,0.0008221112817892022,1.340028524745273e-06,64,0.6682010280961057
0.5865409970283508,0.5819635391235352,25,32,0.21590314040608488,0.0009186908349690871,5.722403200123241e-05,64,0.3608002908404232
0.5829964876174927,0.5829549431800842,25,32,0.10361554434875297,0.0014546757017532472,3.584473199561827e-06,64,0.5851295569492035
0.5895159244537354,0.5833654999732971,25,32,0.0917688655790371,0.0011837896315409053,5.583714681310196e-05,64,0.4486091674061816
0.5901768803596497,0.5890563726425171,25,32,0.12637402564684716,0.0009280814893356718,1.99396020458583e-05,64,0.6541704581380425
0.5932590961456299,0.5925014019012451,25,32,0.2266136480346861,0.0010624332947131972,2.8410845080445286e-05,64,0.699363682208612
