n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,metric
1000,0.04593220101640643,5,0.7351396865390427,0.7564953012367359,8,0.4955858317738258,0.010822090139701765
900,0.06173924037588678,5,0.6743012247778033,0.7267483262629721,14,0.8274037676812867,0.010826954052952116
1100,0.04403671571646791,6,0.7467709520416429,0.6390673261184162,6,0.21901460638680434,0.010847575052088223
1100,0.05848431744933565,6,0.7660768536911995,0.7134119067783999,14,1.2317929680990953,0.010859564657704992
1100,0.055236838166988184,6,0.8367983201313363,0.6364429408239789,5,3.066660135487223,0.010866394229847922
500,0.04545059704018822,5,0.7309004266269867,0.7708119950182815,1,0.70657034024035,0.010885432627660943
300,0.03442997054287976,4,0.693028508313479,0.7554042971601307,20,0.531212726789089,0.010890888334896565
900,0.06383622766808558,5,0.6861376861169309,0.703885688222194,14,0.7905718446331206,0.01092405593649687
300,0.027064583758359802,4,0.9035803793886757,0.83259246097783,25,0.3652062256481344,0.010966542799589704
1200,0.06769133636066701,6,0.644963719262446,0.5287329650292298,14,0.18954676698190212,0.010967879631084712
300,0.03691188015636259,5,0.6924745509172271,0.7853007475584255,1,0.2073176849419447,0.01096859004255582
300,0.016432378919707624,4,0.762378215816119,0.6591670111852694,18,3.2781876533976155,0.010971317154470065
600,0.05,6,0.8,0.8,5,1.0,0.010972886206352816
1000,0.04184863117679366,8,0.5929526721482923,0.6608587082551001,6,0.2735544986732686,0.011017876239374816
200,0.022059149678071027,4,0.728034992108518,0.8711055768358081,12,1.8785426399210623,0.011031962068592081
600,0.03433318133584731,5,0.66697511134809,0.7886467750023511,40,0.5210059478957169,0.01106351397598722
900,0.07961694035357438,7,0.8908739261401535,0.8326352255419894,10,0.48184024937042325,0.01106883479830556
1000,0.022816739880816207,2,0.8421165132560784,0.6640914962437607,8,1.6850517723339091,0.01107331486687937
1200,0.022339168493572148,2,0.6200843069603863,0.5601946437672217,23,6.623512385138323,0.011093894705362472
700,0.07972508181878098,3,0.8982509529611884,0.8824746468200119,18,0.6909171386363157,0.011103170576558177
1000,0.10020034247278621,7,0.7634765732885588,0.619163172185842,7,0.19999705445703425,0.011110791087281904
800,0.06758624276545303,4,0.9918078328533033,0.9674858319842282,35,7.242342387307127,0.011113637999917091
500,0.13125830316209655,7,0.7993292420985183,0.4936111842654619,10,0.13927723945289014,0.011145907779997882
1100,0.05092911283433821,6,0.5102922471479012,0.9819459112971965,50,0.33572967053517927,0.011169708420569475
100,0.033615618276396905,5,0.6361238775753236,0.7327202163166509,43,0.3347044029364912,0.011172100085189166
800,0.011340440501807348,6,0.5852620618436457,0.43903095579116774,57,24.65969117210483,0.01121652234256546
400,0.04888235359065027,3,0.5621243005829863,0.9060273453035861,18,1.0609061196391751,0.011235915090689145
400,0.010163732690779385,8,0.9661451709558937,0.7015187306048779,28,23.84890888943404,0.011252273137907977
100,0.1173393765991262,3,0.831261142176991,0.5870266456536466,32,2.260828676373495,0.011318877828519812
500,0.08644335697284011,7,0.728903287419933,0.6006252124966275,1,0.11205687460122993,0.011336050739495606
