metric,folds_done,config/hidden,config/dropout,config/lr,config/wd,config/batch,config/alpha
0.008634910117632656,1,48,0.09125462467615465,0.0014052004086257616,3.253598243958152e-05,32,0.5755123781447669
0.008683378049432406,1,32,0.18956068148402622,0.001875741380630514,7.53340286177326e-06,64,0.6666331581693083
0.008735847622910796,1,48,0.30672436232239414,0.0005374322297158342,2.2230826638058746e-06,32,0.3785550768703112
0.008755308581526832,1,64,0.27650080377890407,0.00248109261876067,2.5924871842187245e-06,64,0.5892614654730864
0.008757774463562115,1,32,0.17549411402346732,0.0006445191331989323,3.055525346781283e-05,16,0.5719350550430453
0.008766950883611657,1,96,0.3270854070088278,0.002463660191181532,1.0588037540579085e-06,32,0.5733459971836433
0.008769879578655477,1,48,0.08272981027821381,0.0008828494538527868,2.7577507130086524e-06,32,0.4077697802447373
0.008775558257114865,1,32,0.24191721433449542,0.0030030047163595312,0.0002149906388971518,16,0.597014575282292
0.008801570766279273,1,64,0.22446539282411276,0.0012521182771074106,8.456145614996549e-06,64,0.6500463789137157
0.008823593714694555,1,32,0.07338590356512888,0.0010437245907380956,7.175937561688387e-05,32,0.5851889123859173
0.008833553735346012,1,96,0.2351050988050361,0.002595614490634675,0.00010122530345329027,16,0.6426363661957111
0.008848181235341604,1,48,0.3218553508003943,0.0007155163969020248,5.3231262495996576e-06,32,0.47156298022684895
0.008882524734178478,1,64,0.2443854980538696,0.003555851125132508,7.155432756336422e-06,16,0.6890918998067455
0.0088906756512076,1,64,0.27563022070410026,0.0009856287122261438,1.8217631607982758e-05,32,0.4202226567220714
0.008898425283490151,1,48,0.18770839378732668,0.0006374455544692212,1.0753862070692272e-05,16,0.6807805668911965
0.008910539295937733,1,32,0.14409838750526946,0.0005623810867048245,0.0006183470556028997,16,0.3583643304329334
0.00891449486906226,1,32,0.2729151957235024,0.005465046301260432,0.0001672650188972159,16,0.5035624586883904
0.008914638625708052,1,96,0.16454282966308345,0.0006753261507868783,2.471815254925017e-05,32,0.5142650034230626
0.008919192969674949,1,32,0.12560536385638946,0.003662545765659111,1.317872338913336e-05,16,0.5780462165788112
0.009138076441186227,1,32,0.2507914136096959,0.005242495807602366,0.0008571026069949888,16,0.33764298881658455
0.009158294948160192,1,48,0.19093816225563892,0.002483405711395861,5.209819354960987e-06,16,0.3690826008265753
0.00922765381146365,1,32,0.1469248923981916,0.001225990338580611,0.00039220891931496347,32,0.6128513532440689
0.009301057232986736,1,32,0.0773487934173773,0.0014795387117475293,6.837886526006251e-05,16,0.54422628008157
0.009305826182174577,1,48,0.3000957135923471,0.0009131428252136083,0.0006336554297947903,16,0.40008956951942953
0.009628694425280332,1,48,0.20749503630673588,0.005683787044940048,1.0022582179983431e-05,16,0.34621559764157894
0.010453883780223,3,64,0.2642448084894201,0.005344045981368583,1.4045463708989103e-05,16,0.6699072351203468
0.01074971609584225,3,64,0.08967460207162742,0.0006591963132283529,4.6589334647929675e-06,16,0.6367854551741835
0.010774280446178758,3,32,0.34571165513641516,0.0012672877501038007,4.666097380916303e-06,32,0.6837740091920258
0.010802996732581912,3,48,0.10210555313268874,0.0014141386213815865,0.0002985472032081913,64,0.46278925472941856
0.010852526595261182,3,48,0.3096407178173187,0.0013535093607109365,7.013506873548888e-06,32,0.5692557067779135
0.010853120089820268,3,48,0.07708695184244392,0.0032408290676539508,0.00021354459862986706,64,0.521034691374535
0.010874928842431138,3,32,0.34760580646416384,0.0008936821768006935,1.7557314891421896e-05,16,0.4730248186604803
0.010981440394758122,3,32,0.2824606857718394,0.003727136407132934,1.7791173109321135e-06,64,0.4482315460961517
0.011066790897816372,3,96,0.24091925162094108,0.003904621984906818,3.651742067128606e-05,64,0.5476206951397856
0.011103349830270138,3,96,0.19753494402024485,0.0005540375639296392,7.902090590266278e-06,16,0.6645695217961626
0.011467436567785719,3,64,0.27758512954642917,0.004467066335366671,0.0009772196897828787,32,0.632515021408053
