fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
18001,252.61666666666667,6.712224281284103,240.0,270.0,30.0,17.19999999999999,3.4,0.2268892841556629,1,0.17
18003,244.93333333333337,10.26243217391929,227.0,266.0,39.0,28.200000000000017,4.483333333333333,0.2265178071923076,2,0.43
18005,205.81666666666663,19.597208091249925,180.0,282.0,102.0,42.400000000000006,9.6,0.4388893719377064,4,0.62
18007,230.31666666666663,9.71717275382524,212.0,262.0,50.0,25.09999999999999,5.366666666666666,0.249289987339576,2,0.02
18009,272.3666666666667,6.18353929332469,255.0,287.0,32.0,16.0,4.616666666666666,0.6102172316511032,2,0.18
18011,281.5,11.740845694715464,253.0,297.0,44.0,30.399999999999977,3.0166666666666666,0.1375691212176144,2,0.13
18013,240.75,30.886684641372455,172.0,295.0,123.0,79.20000000000002,28.116666666666667,1.8750873747672228,14,1.38
18015,211.08333333333337,15.049400761387018,168.0,243.0,75.0,31.09999999999999,5.033333333333333,0.199237958530768,2,0.75
18017,226.03333333333333,15.66488750565965,180.0,261.0,81.0,37.5,7.25,0.3525656897663192,2,0.5
18019,187.4,36.18136986660025,135.0,288.0,153.0,89.4,17.7,1.124751098266373,4,0.28
18021,188.03333333333333,17.876190648188878,157.0,227.0,70.0,50.099999999999994,9.05,0.5090080950509257,4,0.77
18023,262.46666666666664,16.65753422111699,208.0,285.0,77.0,41.0,5.066666666666666,0.254577087879737,2,0.04
18025,203.16666666666663,36.36452297326952,123.0,267.0,144.0,92.4,26.516666666666666,1.7096003810123523,14,1.03
18027,152.75,16.609804129499512,133.0,200.0,67.0,41.19999999999999,8.95,0.5235223070752779,4,1.41
18029,253.76666666666668,35.673361217650516,146.0,305.0,159.0,84.19999999999999,16.05,1.067081989527149,5,0.6
18031,273.0833333333333,22.62014376512232,232.0,322.0,90.0,59.60000000000002,6.25,0.3374603573210998,2,0.22
18033,273.73333333333335,14.825386686204183,245.0,302.0,57.0,37.30000000000001,4.9,0.2827322996347178,4,0.26
18035,287.6,12.102948233063024,267.0,319.0,52.0,31.100000000000023,5.133333333333334,0.2714892458440293,2,0.66
18037,171.51666666666668,24.35715303467961,135.0,222.0,87.0,63.19999999999999,14.283333333333331,0.6849272711326282,14,1.18
18039,254.78333333333333,12.319327059910355,232.0,284.0,52.0,35.0,5.716666666666667,0.4882278611427101,2,0.86
18041,292.78333333333336,28.54974348584142,241.0,353.0,112.0,78.4,13.233333333333333,1.092249042033107,4,0.07
18043,234.96666666666667,51.24317785653187,137.0,296.0,159.0,139.1,18.2,1.1955515156610637,14,0.21
18045,197.76666666666668,20.230340250887195,149.0,233.0,84.0,54.5,9.133333333333333,0.738394002731508,4,0.56
18047,279.81666666666666,33.806273445823415,194.0,321.0,127.0,85.40000000000003,25.733333333333334,1.4970674016788532,5,1.36
18049,239.15,10.482956304466596,220.0,269.0,49.0,27.19999999999999,5.183333333333334,0.4029625995974427,1,0.77
