fipsCode,hour,gmax_ratio,gp90_ratio,gstd_ratio,gmax_abs
18001,0,1.0849256900212314,1.0670912951167728,0.0694011003341025,51.1
18001,1,1.056159420289855,1.0510869565217391,0.0750336863367128,58.3
18001,2,1.096528365791702,1.0753598645215918,0.0791571756174684,51.8
18001,3,1.1604095563139931,1.1015358361774743,0.0983012364537166,54.4
18001,4,1.1303960836671116,1.1045838896306186,0.1157162539728067,50.8
18001,5,1.1557450628366248,1.0973967684021544,0.11234955197471,51.5
18001,6,1.0675787728026536,1.0402155887230515,0.0404255431366911,51.5
18001,7,1.1590727418065547,1.0983213429256595,0.1001057427467992,58.0
18001,8,1.1135199054000788,1.0851399290500592,0.110758286232944,56.5
18001,9,1.054374346462182,1.0313698152666435,0.0340040694489559,60.5
18001,10,1.030664395229983,1.0258943781942078,0.0254113013461265,60.5
18001,11,1.0709053618517432,1.0410196308233226,0.0440057264486323,73.1
18001,12,1.0585520623017015,1.0527833862128642,0.0640069641701941,73.4
18001,13,1.106811145510836,1.0681114551083593,0.0684448636824586,57.2
18001,14,1.045766590389016,1.0356979405034326,0.0347795976054248,45.7
18001,15,1.0171178343949046,1.0171178343949046,0.0257068221193677,51.1
18001,16,1.0185917721518989,1.0185917721518989,0.0226202190751515,51.5
18001,17,1.0091378625347636,1.0091378625347636,0.0096911489214544,50.8
18001,18,1.0243233984241178,1.0188420692017814,0.0196948028116543,59.8
18001,19,1.016540317022743,1.0144727773949,0.0145484712836558,59.0
18001,20,1.02878257487359,1.0233372228704782,0.0241104247551457,52.9
18001,21,1.0101626016260163,1.0101626016260163,0.0098530078402771,49.7
18001,22,1.034169392948019,1.0312613595056344,0.0464340131777794,56.9
18001,23,1.055350553505535,1.0398523985239851,0.0410697957371809,57.2
18001,24,1.039012738853503,1.035828025477707,0.0523339659751234,52.2
18001,25,1.1693171188026192,1.0954162768942937,0.0962909750597205,50.0
18001,26,1.02200488997555,1.0180929095354525,0.0164923442093301,41.8
18001,27,1.0355648535564854,1.028242677824268,0.0290966130663203,39.6
18001,28,1.0379746835443036,1.0329113924050632,0.0360815007942764,32.8
18001,29,1.035678889990089,1.0277502477700693,0.0331308516361679,20.9
18001,30,1.0365853658536586,1.0365853658536586,0.0333977169210467,11.9
18001,31,1.125,1.0944444444444443,0.0912078162261367,16.2
18001,32,1.053875236294896,1.0406427221172023,0.0368498841013571,22.3
18001,33,1.0142857142857142,1.0142857142857142,0.015771001547014,28.4
18001,34,1.0285528877352368,1.0194678780012978,0.0205721836264079,31.7
18001,35,1.018123667377399,1.013859275053305,0.0183108358606798,38.2
18001,36,1.0212671688081525,1.0150642445724414,0.0139759063319339,46.1
18001,37,1.0210099520825653,1.0158496129745669,0.014370504010039,55.4
18001,38,1.0383064516129032,1.023790322580645,0.0241935483870967,51.5
18001,39,1.023449920508744,1.0147058823529411,0.015860945897643,51.5
18001,40,1.0274841437632136,1.0215644820295984,0.0233995175699563,48.6
18001,41,1.0224667583677214,1.0197157267308574,0.0228908499153903,44.6
18001,42,1.038220193953223,1.029092983456931,0.0304937758377731,36.4
18001,43,1.0447761194029852,1.0265339966832503,0.0277189297685684,25.2
18001,44,1.1776061776061777,1.1505791505791507,0.1403104421261855,12.2
18001,45,1.1816192560175054,1.133479212253829,0.1195016842093054,10.8
18001,46,1.1322314049586777,1.1090909090909091,0.1099515264103311,13.7
18001,47,1.0538641686182668,1.037470725995316,0.0344887036885787,18.0
18001,48,1.0826771653543308,1.0472440944881891,0.0490153527479871,22.0
18001,49,1.0767790262172283,1.0711610486891383,0.0705827328454472,23.0
18001,50,1.0648442466624284,1.0597584233947872,0.0576377721889034,33.5
18001,51,1.042079207920792,1.0351485148514852,0.0326038115651472,42.1
18001,52,1.014782261286456,1.014782261286456,0.0186109703537388,50.8
18001,53,1.0168302945301544,1.0140252454417953,0.0131545101558934,58.0
18001,54,1.0401284109149278,1.035634028892456,0.0453575317847344,64.8
18001,55,1.0228802153432033,1.0185733512786004,0.0214500369455036,76.0
18001,56,1.050760176557136,1.0345757724374691,0.0368297068095101,85.7
18001,57,1.0261725835708737,1.0168437419020473,0.0157465520626269,79.2
18001,58,1.0093837179812326,1.0073548059852904,0.0090380571550623,79.6
18001,59,1.0331140848264913,1.018144704014516,0.0189320825675212,91.1
18001,60,1.0248386465871309,1.0177977703892038,0.0167332287394542,104.8
18001,61,1.0052703494046458,1.003708764395862,0.0041177089810128,103.0
18001,62,1.0528605612355884,1.040678703502284,0.0361032987084402,96.8
18001,63,1.0440735986307232,1.0269576379974328,0.0265439697087457,97.6
18001,64,1.0703910614525138,1.041340782122905,0.042465450701631,95.8
18001,65,1.065228826933193,1.0405049973698055,0.040710706183273,81.0
18001,66,1.0837300476057128,1.045645477457295,0.0471546988510196,77.4
18001,67,1.0399091499026605,1.0327709279688513,0.0295734873765685,64.1
18001,68,1.0520404342942715,1.0438038187944592,0.0389169232241496,56.2
18001,69,1.027213491759295,1.0195477194327331,0.0183017805846122,53.6
18001,70,1.0088070456365092,1.0056044835868696,0.005766557362245,50.4
18001,71,1.037694974003466,1.0342287694974004,0.0326253909826979,47.9
18001,72,1.034126163391934,1.029989658738366,0.0372141762470456,40.0
18001,73,1.065388951521984,1.052987598647125,0.0520238460254881,37.8
18001,74,1.070150322118826,1.0486757337151038,0.0522719890249309,29.9
18001,75,1.0931005818786368,1.063175394846218,0.0616895533119866,26.3
18001,76,1.09450337512054,1.059787849566056,0.0591113309788887,22.7
18001,77,1.0656620021528525,1.0419806243272334,0.0480489001521326,19.8
18001,78,1.0403050108932463,1.0315904139433552,0.0318988027545671,19.1
18001,79,1.0825892857142858,1.0669642857142856,0.0691829263900443,19.4
18001,80,1.146551724137931,1.0982758620689657,0.0938428493839536,13.3
18001,81,1.0606060606060606,1.05103668261563,0.050623828542596,13.3
18001,82,1.092105263157895,1.0710526315789477,0.0817750190437898,16.6
18001,83,1.066919191919192,1.0492424242424243,0.0547825584593854,16.9
18001,84,1.077922077922078,1.0571428571428572,0.0541341948069255,16.6
18001,85,1.0,1.0,0.0,18.7
18001,86,1.108108108108108,1.0843243243243244,0.0802661751617162,20.5
18001,87,1.0987415295256533,1.0774443368828654,0.072974209756958,22.7
18001,88,1.062610229276896,1.0502645502645502,0.045757764776436,24.1
18001,89,1.060377358490566,1.0377358490566038,0.0366834379155161,28.1
18001,90,1.035665294924554,1.0219478737997256,0.0229536358445562,30.2
18001,91,1.030013642564802,1.0163710777626194,0.0177877282543046,30.2
18001,92,1.0505581089954037,1.0374261326329612,0.0393685612972324,32.0
18001,93,1.0564561207378425,1.0408049189491335,0.0424045367803916,37.8
18001,94,1.057111477210324,1.0373421197144426,0.0373158644010861,38.5
18001,95,1.0526315789473684,1.0318102949681898,0.0326150889065857,36.4
18001,96,1.0186806771745474,1.0151780502043195,0.0142397091858149,34.9
18001,97,1.006984866123399,1.006984866123399,0.0104124236437708,34.6
18001,98,1.0225885225885225,1.0177045177045176,0.0217564464971983,33.5
18001,99,1.0839598997493736,1.06140350877193,0.0570571208591414,34.6
18001,100,1.0618436406067675,1.0408401400233371,0.039645384524141,36.4
18001,101,1.1035098155859608,1.0642474717430102,0.0726574764514775,37.1
18001,102,1.0560625814863105,1.0469361147327247,0.0808449334963624,32.4
18001,103,1.076478149100257,1.0482005141388175,0.0499572745202957,33.5
18001,104,1.0536044362292052,1.0486752926678988,0.0616373955461401,34.2
18001,105,1.0698569856985698,1.0423542354235424,0.0406352553613658,38.9
18001,106,1.043108036189463,1.035657264502395,0.0397993717205838,39.2
18001,107,1.0291335603480891,1.0261066969353008,0.0255076107312646,54.4
18001,108,1.0513940208263353,1.0419885791064831,0.0378847757604882,62.6
18001,109,1.0294994040524432,1.0211561382598329,0.020055206996977,69.1
18001,110,1.0273052820053716,1.0241718889883618,0.0234417564418552,91.8
18001,111,1.0576271186440678,1.0413559322033898,0.0382849137764912,93.6
18001,112,1.029512697323267,1.0263097689315943,0.0333345188259967,90.0
18001,113,1.0377125955139266,1.0308109440473257,0.0300320579477149,84.2
18001,114,1.0385589642555586,1.0284266816774557,0.0269702679390136,73.8
18001,115,1.0209834011901031,1.01597243971187,0.0167414935933656,65.2
18001,116,1.0279531109107305,1.0195371205290054,0.0192342010890004,68.4
18001,117,1.019863622887637,1.0133412392528904,0.0138503511731966,68.8
18001,118,1.0094909404659191,1.007190106413575,0.0067907500449339,70.2
18001,119,1.057494866529774,1.0467145790554415,0.0487460098629868,82.4
18001,120,1.0588391200636098,1.039756162205142,0.0441374974651715,79.9
18001,121,1.0299727520435966,1.022343324250681,0.0263475198989287,75.6
18001,122,1.039260969976905,1.0300230946882216,0.0330418633020238,63.0
18001,123,1.022099447513812,1.0153468385512583,0.0202613145052969,66.6
18001,124,1.0191884240327147,1.0147845234350423,0.0169178884045609,64.8
18001,125,1.016456921587609,1.0138754436915134,0.0188984194441385,63.0
18001,126,1.0284019975031211,1.0190387016229714,0.0192207481119877,65.9
18001,127,1.018987341772152,1.0145569620253163,0.0134726157958278,64.4
18001,128,1.0314633422380528,1.0225586227367174,0.0207352320529213,69.5
18001,129,1.0225607969528272,1.0167008496923526,0.015033077682233,69.8
18001,130,1.02332361516035,1.020991253644315,0.0239750498591815,70.2
18001,131,1.0282381829343157,1.0190300798035603,0.0191251412887346,67.0
18001,132,1.0390015600624023,1.020904836193448,0.0218965192630548,66.6
18001,133,1.0331593490942586,1.0221062327295056,0.0202675353571561,67.3
18001,134,1.0184615384615383,1.0166153846153847,0.0149555554578643,66.2
18001,135,1.0113600504891134,1.0113600504891134,0.0120883441523369,64.1
18001,136,1.0198675496688745,1.0145695364238412,0.015837025223269,61.6
18001,137,1.0326624876278456,1.023424612339162,0.0236592631003725,62.6
18001,138,1.015146632291331,1.0125684821140832,0.0140288745470054,63.0
18001,139,1.013337670787248,1.013337670787248,0.0160361191201902,62.3
18001,140,1.0301768990634754,1.0301768990634754,0.029978897587696,59.4
18001,141,1.0514865844815082,1.0355329949238576,0.0383206021482678,58.0
18001,142,1.0468521229868228,1.028550512445095,0.0281927979208027,57.2
18001,143,1.013909224011713,1.013909224011713,0.0158813273425451,55.4
18001,144,1.0559939872228483,1.0311912814731303,0.0317877613976813,56.2
18001,145,1.0637465780211184,1.0379350801720766,0.0389515826296088,54.4
18001,146,1.02217211574596,1.0139045471627206,0.0149966703789814,54.4
18001,147,1.022024729520865,1.0197063369397217,0.0200126957690549,52.9
18001,148,1.0345545378850958,1.0312239800166527,0.0309311833821926,49.7
18001,149,1.0197802197802197,1.0136263736263735,0.0128152788897698,46.4
18001,150,1.022476862053768,1.01983252534156,0.0239576516966538,46.4
18001,151,1.0969011313330053,1.0654205607476634,0.0800275630103953,44.6
18001,152,1.0349784379492095,1.0349784379492095,0.059113255441461,43.2
18001,153,1.0247349823321554,1.0220848056537102,0.0229193044419074,46.4
18001,154,1.0281569965870307,1.0196245733788396,0.024985580997178,48.2
18001,155,1.0414866032843562,1.0293863439930857,0.0309901583652676,48.2
18001,156,1.0255834829443446,1.0255834829443446,0.0292861405166244,45.7
18001,157,1.028336380255941,1.0246800731261425,0.0231696377616756,45.0
18001,158,1.028103044496487,1.0149882903981262,0.0162253003050948,43.9
18001,159,1.0203117619272557,1.0136986301369864,0.0127844767149025,43.2
18001,160,1.009688934217236,1.009688934217236,0.0114595640256217,39.6
18001,161,1.0310965630114564,1.023458810692853,0.0226256861465659,37.8
18001,162,1.0285528877352368,1.0233614536015574,0.0272820545224891,31.7
18001,163,1.030595813204509,1.0241545893719808,0.0235773759490279,25.6
18001,164,1.0499058380414312,1.0442561205273069,0.0596090566309468,22.3
18001,165,1.0789473684210529,1.0557894736842104,0.0572935290975716,20.5
18001,166,1.0396570203644158,1.0246516613076098,0.0232363166009418,19.4
18001,167,1.2555720653789004,1.1812778603268943,0.1730114087222875,16.9
18001,168,1.0218978102189782,1.0218978102189782,0.032643328138683,11.2
18001,169,1.068702290076336,1.0473282442748093,0.044511083166758,14.0
18001,170,1.0394736842105263,1.0315789473684212,0.0290518449550258,15.8
18001,171,1.0649202733485197,1.0489749430523918,0.0480861772951811,18.7
18001,172,1.0344827586206895,1.0268199233716475,0.0265361976574618,21.6
18001,173,1.0165073848827106,1.009556907037359,0.0108165939165844,23.4
18001,174,1.0983884648006783,1.0491942324003392,0.0550008238740405,25.9
18001,175,1.142983230361871,1.118270079435128,0.1053881498445858,25.9
18001,176,1.2034927866362948,1.1108580106302204,0.1145136336678624,31.7
18001,177,1.0103806228373702,1.0103806228373702,0.0165945727450266,29.2
18001,178,1.0122324159021403,1.0085626911314982,0.0091743119266055,33.1
18001,179,1.022860492379836,1.019343493552169,0.0175115700425435,34.9
18001,180,1.0255665310865774,1.020918070889018,0.0202746616180916,35.3
18001,181,1.036509900990099,1.027846534653465,0.0261992117945749,33.5
18001,182,1.010303377218088,1.010303377218088,0.0100375946861763,35.3
18001,183,1.0457920792079207,1.042079207920792,0.0393444662351777,33.8
18001,184,1.0332464146023468,1.0241199478487613,0.0229785615802014,31.7
18001,185,1.020104244229337,1.0141474311243484,0.0157073887637594,27.4
18001,186,1.0158572844400398,1.0099108027750248,0.0123388499484526,20.5
18001,187,1.0704419889502763,1.051104972375691,0.0486866208066701,15.5
18001,188,1.0744680851063828,1.0425531914893615,0.044343968086524,20.2
18001,189,1.0795454545454546,1.0485537190082643,0.0470012940746996,20.9
18001,190,1.090297790585975,1.0557156580211335,0.0540639262834013,22.7
18001,191,1.0830152671755724,1.0543893129770991,0.0534052874769302,22.7
18001,192,1.1145510835913313,1.0856553147574817,0.0770891615974534,21.6
18001,193,1.0880316518298714,1.0583580613254204,0.0539954265636248,22.0
18001,194,1.1086717892425906,1.0603732162458837,0.0628663932525855,20.2
18001,195,1.0599334073251945,1.044395116537181,0.0425171616190409,19.1
18001,196,1.16254036598493,1.108719052744887,0.0993437059733218,21.6
18001,197,1.1085972850678731,1.1013574660633485,0.102136229323943,24.5
18001,198,1.1224489795918366,1.1,0.1319644607793628,22.0
18001,199,1.1864406779661016,1.1152542372881356,0.1116266090874533,14.0
18001,200,1.1604584527220632,1.1289398280802292,0.1285013237621269,16.2
18001,201,1.2577639751552794,1.236024844720497,0.2203793099128072,16.2
18001,202,1.8725868725868728,1.7644787644787647,0.7079179797213311,19.4
18001,203,1.4258188824662814,1.341040462427746,0.4355231242333034,14.8
18001,204,1.09204368174727,1.0826833073322932,0.0771008661039099,14.0
18001,205,1.08641975308642,1.0518518518518518,0.0611079934358744,17.6
18001,206,1.0362453531598514,1.0362453531598514,0.0378082632096803,22.3
18001,207,1.1303939962476548,1.075984990619137,0.0757326781656836,24.1
18001,208,1.2024665981500513,1.1366906474820142,0.1308918435760161,23.4
