fipsCode,land_sqmi,lat,lon,population,rucc,pop_density
18167,403.61,39.429143,-87.390375,106153,3.0,263.0088451723198
18169,412.538,40.843747,-85.795192,30976,6.0,75.08641628165162
18171,364.69,40.352498,-87.375163,8440,3.0,23.1429433217253
18173,384.843,38.097728,-87.272049,63898,2.0,166.03653957587898
18175,513.687,38.600613,-86.104751,28182,1.0,54.862202080255095
18177,401.754,39.863091,-85.006735,66553,5.0,165.65609801022515
18179,368.087,40.735273,-85.212974,28180,2.0,76.55798764965891
18181,505.139,40.75095,-86.864293,24688,6.0,48.87367635442918
18183,335.568,41.136426,-85.501892,34191,2.0,101.88992990988415
39001,583.872,38.834468,-83.478082,27477,8.0,47.05997204866821
39003,402.545,40.771627,-84.106103,102206,3.0,253.89956402389794
39005,422.987,40.843273,-82.270127,52447,6.0,123.99199029757415
39007,702.067,41.906637,-80.745592,97574,1.0,138.98103742235426
39009,503.644,39.332755,-82.045885,62431,4.0,123.95858979755542
39011,401.388,40.561309,-84.224018,46422,4.0,115.65368172441629
39013,532.127,40.017682,-80.967727,66497,3.0,124.96452914435841
39015,489.543,38.931377,-83.866772,43676,1.0,89.21790322811275
39017,466.524,39.439747,-84.565734,390357,1.0,836.7350875839185
39019,394.612,40.579884,-81.090787,26721,2.0,67.71461587584767
39021,428.989,40.132775,-83.767604,38714,6.0,90.24473821007066
39023,396.877,39.917032,-83.783676,136001,3.0,342.6779581583211
39025,452.56,39.052054,-84.149485,208601,1.0,460.935566554711
39027,408.731,39.416681,-83.804583,42018,6.0,102.80110879771782
39029,531.917,40.770073,-80.778455,101877,4.0,191.52800154911387
39031,563.988,40.29671,-81.930109,36612,7.0,64.91627481435775
39033,401.786,40.848524,-82.924783,42025,4.0,104.59548117654671
39035,457.211,41.555037,-81.604957,1264817,1.0,2766.374824752685
39037,598.102,40.131467,-84.621191,51881,6.0,86.74272950098813
39039,411.45,41.321679,-84.486433,38286,6.0,93.05140357273059
39041,443.147,40.278941,-83.007462,214124,1.0,483.18955109704007
39043,251.288,41.394143,-82.586835,75622,3.0,300.9375696412085
