fipsCode,state,eia_n_utilities,eia_n_coops,eia_customers,eia_cust_residential,eia_sales_mwh,eia_dist_circuits,eia_ami_meters,eia_all_meters,eia_coop_share,eia_muni_share,eia_iou_share,eia_saidi_with_med,eia_saidi_no_med,eia_saifi_with_med,eia_saifi_no_med,eia_ami_share,eia_cust_per_circuit,eia_mwh_per_customer,population,land_sqmi,eia_cust_per_capita,eia_circuits_per_1ksqmi,tl_km,tl_segments,tl_max_kv,tl_km_per_1ksqmi,eia_cust_per_tl_km
18001,IN,4,3,9783.106431138496,7950.946852136582,312200.1918060948,15.876180511993088,9767.812815269624,9814.599833463066,0.21628117045720133,0.0,0.7837188295427987,156.7,97.5,0.839,0.725,0.9952329163707806,616.2128494160294,31.912173705112487,35809,338.926,0.27320244718195136,46.84261612267306,336.44685392866523,12,765.0,992.6852880235368,29.07771708043003
18003,IN,5,4,121987.19935617874,109613.2015419711,4195008.298217959,230.6907582173145,121728.58291438181,122232.14862920027,0.32352214448017913,0.0,0.6764778555198209,137.49540804366939,89.02249549123034,0.8954535346528364,0.7669603070526073,0.99588025146849,528.791011390516,34.38892211935578,385410,657.3,0.3165128028753243,350.96722686340263,1204.6732164221185,118,765.0,1832.760104095723,101.26165145306453
18005,IN,7,4,49525.266621877236,44034.11478261804,1394722.2438293975,75.75873438330915,49845.683535437376,50451.29594011465,0.3019551112355697,0.016390843792430804,0.6816540449719996,251.54337560012252,110.18852920519275,1.3909849918342132,1.1145521247783496,0.9879960981498646,653.7235214529724,28.161832110426126,82208,406.94,0.6024385293630454,186.16684126237072,683.6808741089741,49,345.0,1680.0532611907754,72.43915765001091
18007,IN,6,4,5610.227425458093,4631.176588613111,161310.98613326304,5.610931709667742,2860.857655377341,5663.282606161271,0.24498585583015323,0.0,0.7550141441698467,397.64114130622187,155.106865014684,1.253600476685718,0.9469814948085286,0.505158907709271,999.8744799890479,28.753020849255762,8719,406.418,0.6434484947193593,13.805814972928715,73.54885309013804,9,345.0,180.96849325113072,76.27892468401187
18009,IN,2,1,2875.0618977890813,2269.52529412287,90957.51845696117,3.645763298793319,2869.889000601118,2885.714194389243,0.09798547828230843,0.0,0.9020145217176916,156.7,97.5,0.8389999999999999,0.725,0.994516021781057,788.6035549100717,31.636716596226112,12112,165.082,0.2373730100552412,22.084559787216772,160.7131110155648,5,345.0,973.5350372273466,17.889404788577803
18011,IN,9,2,48922.96136446047,41955.249456219404,1251562.155440496,66.42842311122979,47039.725378517556,48693.00649547414,0.153591853988964,0.2520189880303013,0.5943891579807347,240.12373935788253,99.68405634988697,1.1713454060596864,0.9683163017661858,0.9660468466429517,736.4763315628065,25.58230574222106,70812,422.882,0.6908851799759994,157.08500979287317,411.17907525792424,35,345.0,972.3257912560103,118.98212800291964
18013,IN,4,3,6605.36998692547,6000.4478181762215,152286.69177667814,9.88126927742989,6687.162460852927,6700.21060506592,0.532360235374414,0.0,0.467639764625586,325.80168691515706,132.59542845870234,1.797399644305606,1.222821095820641,0.9980525770036053,668.4738368595011,23.054982851545216,15475,311.987,0.42684135618258284,31.672054532496194,111.1539900960135,6,230.0,356.27763367067695,59.42539697603144
18015,IN,5,2,13484.42498534618,10785.717606190827,363340.8164646284,13.067505367188115,7004.100081650293,13530.770691882944,0.16845449516769878,0.09996718447133646,0.7315783203609648,397.64114130622187,155.106865014684,1.2536004766857176,0.9469814948085284,0.5176423605975397,1031.9050657675589,26.945221383891326,20306,372.225,0.6640611142197469,35.106468848648305,157.13771195828113,3,230.0,422.15786676951075,85.81278686892293
18017,IN,6,3,30315.192656398307,23893.75494673627,873238.694791073,48.76155573841852,16330.51209704391,30548.958139829178,0.14641798137862078,0.6042299951117134,0.24935202350966584,217.2844760199071,107.09399639972203,1.042011729726243,0.732780911051376,0.5345685447698618,621.7027368655797,28.80531569396996,37870,412.144,0.8005068037073754,118.31193888160091,265.27793129904427,20,345.0,643.6535077522523,114.27709990027175
18019,IN,4,3,52360.739885866366,47847.6732635653,1230784.702904017,84.49968154480769,53000.822243808856,53108.22770432674,0.5383730148248108,0.0,0.46162698517518913,233.10149199429387,115.27084651047947,1.4892139612615396,1.1338066179595072,0.9979776116590474,619.6560617580673,23.505869198694047,121093,372.83,0.43240104618653735,226.64399738435128,364.87845058435295,39,345.0,978.6724528185848,143.5018697377459
18021,IN,5,4,11284.893377048005,8932.630784606998,278524.0135476919,19.829623494833047,11426.636365673212,11448.263783292563,0.5318675221612772,0.0,0.4681324778387229,619.2822481117543,201.6426735065039,2.026065665896857,1.5233407629202296,0.9981108561063282,569.0926698627677,24.68113824754191,26466,357.6,0.42639210220841856,55.45196726743021,292.13255820906073,23,230.0,816.9254983474852,38.62935869329608
18023,IN,5,3,11962.774014034629,10800.368423039658,321916.7150779404,22.68432452950319,10325.563358498823,12165.659890450457,0.38990583779190424,0.056293745621983554,0.5538004165861122,254.4361378184378,135.3909414817274,1.117048455561641,0.9022637959149223,0.8487466731339387,527.3586171135872,26.909871798988288,33190,405.067,0.360433082676548,56.001413419269376,259.1662303783407,7,230.0,639.8107729791385,46.158691263792036
18025,IN,4,3,5122.707461008156,3939.0633394960637,116735.62985509414,8.23785467458666,4408.564234393852,5187.7756074245235,0.5898509269145307,0.0,0.4101490730854694,270.5850603326371,125.53505286763651,1.4441664381732022,1.1698271372693194,0.8497985587665939,621.849700360876,22.787877454185214,10526,305.613,0.48667180895004336,26.955184087675132,585.5432293430662,19,765.0,1915.9630949699988,8.748640927426374
18027,IN,5,2,25380.897500897463,15550.45510855478,676037.9379501275,23.78217302059676,17770.187078026735,25764.501648965397,0.14612699501181034,0.31377929010266065,0.540093714885529,391.8649521267114,145.21231269919517,1.4758970987060644,1.1645749705246957,0.6897159246524885,1067.223650207074,26.635698675597386,33381,429.499,0.7603396393426639,55.3718938125508,1310.563293674224,37,765.0,3051.3768220047637,19.36640345674642
