fipsCode,hour,u_mean,u_max,u_p90,u_p95,u_f40,u_f50,u_f60,u_f70
18001,0,30.463534598639452,33.889035,32.7347946,33.1754639,0.0,0.0,0.0,0.0
18003,0,28.866381785467127,37.915454999999994,35.4593388,36.91779759999999,0.0,0.0,0.0,0.0
18005,0,13.350713959999998,17.716248,15.770145,16.027388499999997,0.0,0.0,0.0,0.0
18007,0,28.599213879999997,33.575869,31.942932000000003,32.71242559999999,0.0,0.0,0.0,0.0
18009,0,26.409912591549293,29.057330999999998,28.296785,28.609951,0.0,0.0,0.0,0.0
18011,0,31.46181514754099,34.269308,33.7056092,33.8867981,0.0,0.0,0.0,0.0
18013,0,22.763507818181818,30.19815,28.5383702,29.266481149999997,0.0,0.0,0.0,0.0
18015,0,28.43170242767296,30.377101999999997,29.4197088,29.7798497,0.0,0.0,0.0,0.0
18017,0,27.006963605555555,30.556054,28.4198145,29.178123599999996,0.0,0.0,0.0,0.0
18019,0,20.920111734177215,28.923116999999998,26.126991999999998,26.9143808,0.0,0.0,0.0,0.0
18021,0,27.28871797385621,29.952091,29.097595199999997,29.2452306,0.0,0.0,0.0,0.0
18023,0,29.641438370786513,33.32981,31.0593565,32.33327105,0.0,0.0,0.0,0.0
18025,0,19.168588220588237,21.854512999999997,20.3222365,20.870277,0.0,0.0,0.0,0.0
18027,0,21.395652613756614,25.321708,24.5432668,24.8922232,0.0,0.0,0.0,0.0
18029,0,16.129404696969697,21.183443,20.214865300000003,20.81323605,0.0,0.0,0.0,0.0
18031,0,13.267734695652173,15.949096999999998,14.808278,15.278027,0.0,0.0,0.0,0.0
18033,0,17.768255925,24.82959,22.928224999999998,23.509818999999997,0.0,0.0,0.0,0.0
18035,0,24.366156952941175,26.350681999999995,25.8608009,26.11692595,0.0,0.0,0.0,0.0
18037,0,22.918256206521736,25.008542,24.286023299999997,24.52872695,0.0,0.0,0.0,0.0
18039,0,32.560251247572815,51.023689,41.941874999999996,46.197577249999995,0.13106796116504854,0.009708737864077669,0.0,0.0
18041,0,14.207922903225805,17.045178,15.7835664,16.1012062,0.0,0.0,0.0,0.0
18043,0,16.46083089230769,20.870276999999998,19.259709,19.8099864,0.0,0.0,0.0,0.0
18045,0,27.62198683333333,29.728401,28.753112599999998,29.19266345,0.0,0.0,0.0,0.0
18047,0,15.596684790419163,19.528137,18.5394272,18.9711489,0.0,0.0,0.0,0.0
18049,0,24.528298901234567,29.795507999999998,28.8314041,29.3660232,0.0,0.0,0.0,0.0
18051,0,25.626654693023255,29.012593,28.0551998,28.7128484,0.0,0.0,0.0,0.0
18053,0,24.59990160893855,27.580976999999997,26.265679799999997,26.6235838,0.0,0.0,0.0,0.0
18055,0,21.274662038961036,26.104623,24.091413,25.098018,0.0,0.0,0.0,0.0
18057,0,25.771273477011494,30.735006,28.037304600000002,29.326877449999998,0.0,0.0,0.0,0.0
18059,0,19.29885475,23.688771,20.729352300000002,22.016688249999998,0.0,0.0,0.0,0.0
